Position on chart,Title,Billboard Artist,Track name,Spotify Artist,Album,Popularity ranking #,Spotify URL
85,"""Handle on You""",Parker McCollum,Handle On You,Parker McCollum,Never Enough,73,https://open.spotify.com/track/4reXo2zg1uhEIpUAacDb9C
86,"""Por Las Noches""",Peso Pluma,Por Las Noches,Peso Pluma,Por Las Noches,76,https://open.spotify.com/track/6YWME4xCa5Lm6X1exVMQIC
87,"""Memory Lane""",Old Dominion,Memory Lane,Old Dominion,Memory Lane,74,https://open.spotify.com/track/1nrgBXtczBXNSlqIezjwbR
88,"""Area Codes""",Kaliii,Area Codes,Kaliii,Area Codes,73,https://open.spotify.com/track/7sliFe6W30tPBPh6dvZsIH
89,"""Bury Me in Georgia""",Kane Brown,Bury Me in Georgia,Kane Brown,Different Man,62,https://open.spotify.com/track/4EKH0ajMHXTkq4ztWuztVH
90,"""PRC""",Peso Pluma and Natanael Cano,PRC,Peso Pluma,PRC,73,https://open.spotify.com/track/2mpoNBkngUEwnaKoBhZ0vl
91,"""What My World Spins Around""",Jordan Davis,What My World Spins Around,Jordan Davis,Bluebird Days,75,https://open.spotify.com/track/6vjZxvzdAeHp7jv3R398Xm
92,"""Ain't That Some""",Morgan Wallen,Ain’t That Some,Morgan Wallen,One Thing At A Time,79,https://open.spotify.com/track/2YVlDlk2zRceefo6XlC6DX
93,"""Wild as Her""",Corey Kent,Wild as Her,Corey Kent,Blacktop,74,https://open.spotify.com/track/3kXH9BQq0TyNliiP1MIE6N
94,"""Peaches & Eggplants""",Young Nudy featuring 21 Savage,Peaches & Eggplants (feat. 21 Savage),Young Nudy,Gumbo,68,https://open.spotify.com/track/2KcQ0PbPj0O3P48B9YX7iN
95,"""I Wrote the Book""",Morgan Wallen,I Wrote The Book,Morgan Wallen,One Thing At A Time,69,https://open.spotify.com/track/7phmBo7bB9I9YifAXqnlqV
96,"""Bzrp Music Sessions, Vol. 53""",Bizarrap and Shakira,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",80,https://open.spotify.com/track/4nrPB8O7Y7wsOCJdgXkthe
97,"""Meltdown""",Travis Scott featuring Drake,MELTDOWN (feat. Drake),Travis Scott,UTOPIA,77,https://open.spotify.com/track/67nepsnrcZkowTxMWigSbb
98,"""Put It on da Floor Again""",Latto featuring Cardi B,Put It On Da Floor Again (feat. Cardi B),Latto,Put It On Da Floor Again (feat. Cardi B),62,https://open.spotify.com/track/6c6WmIHcHlhccEwSFBhzNa
99,"""Bloody Mary""",Lady Gaga,Bloody Mary,Lady Gaga,Born This Way (Special Edition),72,https://open.spotify.com/track/11BKm0j4eYoCPPpCONAVwA
100,"""Watermelon Moonshine""",Lainey Wilson,Watermelon Moonshine,Lainey Wilson,Bell Bottom Country,77,https://open.spotify.com/track/3sYBFUXTv0STUoUINx9Qe8
